City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
201,tarawa,1.419,172.984,31.05,74,75,6.17,KI,1730946336
202,berezovyy,51.6667,135.7,-5.55,33,4,2.41,RU,1730946338
203,vernon,50.2581,-119.2691,4.31,73,0,1.54,CA,1730946114
204,bredasdorp,-34.5322,20.0403,13.44,81,16,3.64,ZA,1730946340
205,tazovsky,67.4667,78.7,-14.89,98,68,2.48,RU,1730946341
206,buritizeiro,-17.3511,-44.9622,20.66,95,84,0.65,BR,1730946342
207,kadugli,11.0167,29.7167,24.16,29,3,4.96,SD,1730946343
208,inyonga,-6.7167,32.0667,18.27,91,14,1.55,TZ,1730946344
209,port lincoln,-34.7333,135.8667,17.78,55,11,9.5,AU,1730946345
210,vilyuchinsk,52.9306,158.4028,1.15,64,99,2.7,RU,1730946347
211,kargasok,59.0556,80.8572,-1.86,87,87,6.29,RU,1730946348
212,carutapera,-1.195,-46.02,26.4,80,100,4.11,BR,1730946350
213,susuman,62.7833,148.1667,-29.13,99,91,0.5,RU,1730946351
214,bilibino,68.0546,166.4372,-21.69,99,100,0.88,RU,1730946352
215,korla,41.7597,86.1469,11.87,42,100,3.1,CN,1730946353
216,ulubey,40.8721,37.7588,6.07,84,71,1.93,TR,1730946355
217,daru,-9.0763,143.2092,28.7,74,85,4.69,PG,1730946356
218,kavaratti,10.5669,72.642,27.62,74,95,1.62,IN,1730946357
219,saint-joseph,-21.3667,55.6167,21.21,79,18,4.98,RE,1730946358
220,nar'yan-mar,67.6713,53.087,-7.82,97,99,1.83,RU,1730946136
221,rio preto da eva,-2.6994,-59.6997,25.25,79,81,2.17,BR,1730946360
222,neietsu,37.1845,128.4682,11.8,42,0,0.19,KR,1730946361
223,mejit,10.2753,170.8646,28.76,77,78,9.43,MH,1730946362
224,olinda,-8.0089,-34.8553,26.85,74,40,5.14,BR,1730946365
225,polyarnyy,69.1989,33.4478,1.56,99,100,5.08,RU,1730946367
226,pathein,16.7833,94.7333,21.56,97,100,5.46,MM,1730946368
227,vilyuysk,63.7553,121.6247,-10.71,96,95,2.38,RU,1730946369
228,viedma,-40.8135,-62.9967,8.77,43,59,3.47,AR,1730946370
229,kani keli,-12.9536,45.1033,26.59,77,41,4.38,YT,1730946371
230,choyr,46.3611,108.3611,1.89,38,100,1.64,MN,1730946373
231,saint-pierre,-21.3393,55.4781,21.82,68,0,1.54,RE,1730946374
232,malabrigo,-29.3464,-59.9696,24.38,80,99,2.54,AR,1730946376
233,gaigeturi,33.4644,126.3183,17.03,51,20,3.6,KR,1730946377
234,lionel town,17.8101,-77.2406,25.64,90,100,2.57,JM,1730946378
235,codrington,-38.2667,141.9667,20.66,38,35,2.56,AU,1730946379
236,north battleford,52.7834,-108.2847,1.05,75,0,6.17,CA,1730946380
237,ouani,-12.1322,44.4258,26.48,82,12,4.42,KM,1730946382
238,mossel bay,-34.1831,22.146,10.96,74,20,5.97,ZA,1730946383
239,hilo,19.7297,-155.09,26.85,76,75,4.12,US,1730946173
